datetime;price;volume
2022-01-10 13:09:00;8.70;33.80
2022-01-10 13:10:00;8.70;40.40
2022-01-10 13:11:00;8.70;8.64
2022-01-10 13:12:00;8.70;-48.71
2022-01-10 13:13:00;8.71;39.00
2022-01-10 13:14:00;8.71;64.70
2022-01-10 13:15:00;8.70;-105.91
2022-01-10 13:16:00;8.70;-17.71
2022-01-10 13:17:00;8.71;0.00
2022-01-10 13:18:00;8.71;6.00
2022-01-10 13:19:00;8.70;10.44
2022-01-10 13:20:00;8.71;38.00
2022-01-10 13:21:00;8.71;9.43
2022-01-10 13:22:00;8.70;-167.29
2022-01-10 13:23:00;8.70;11.38
2022-01-10 13:24:00;8.71;19.50
2022-01-10 13:25:00;8.71;9.88
2022-01-10 13:26:00;8.71;-9.00
2022-01-10 13:27:00;8.71;0.00
2022-01-10 13:28:00;8.71;27.75
2022-01-10 13:29:00;8.71;80.43
2022-01-10 13:30:00;8.71;25.20
2022-01-10 13:31:00;8.71;-28.91
2022-01-10 13:32:00;8.72;275.85
2022-01-10 13:33:00;8.72;-4.18
2022-01-10 13:34:00;8.72;-54.69
2022-01-10 13:35:00;8.72;27.58
2022-01-10 13:36:00;8.73;-25.09
2022-01-10 13:37:00;8.72;-4.88
2022-01-10 13:38:00;8.72;3.56
2022-01-10 13:39:00;8.73;4.86
2022-01-10 13:40:00;8.73;-17.33
2022-01-10 13:41:00;8.72;-159.12
2022-01-10 13:42:00;8.71;-0.64
2022-01-10 13:43:00;8.72;182.44
2022-01-10 13:44:00;8.72;-57.25
2022-01-10 13:45:00;8.72;-20.29
2022-01-10 13:46:00;8.73;3.00
2022-01-10 13:47:00;8.73;2.20
2022-01-10 13:48:00;8.72;-11.36
2022-01-10 13:49:00;8.73;586.50
2022-01-10 13:50:00;8.73;15.64
2022-01-10 13:51:00;8.72;-313.62
2022-01-10 13:52:00;8.72;22.50
2022-01-10 13:53:00;8.73;5.14
2022-01-10 13:54:00;8.72;94.90
2022-01-10 13:55:00;8.71;107.73
2022-01-10 13:56:00;8.72;8.58
2022-01-10 13:57:00;8.72;57.00
2022-01-10 13:58:00;8.71;-81.15
2022-01-10 13:59:00;8.71;-72.43
2022-01-10 14:00:00;8.71;9.12
2022-01-10 14:01:00;8.71;-71.78
2022-01-10 14:02:00;8.71;40.50
2022-01-10 14:03:00;8.71;-23.62
2022-01-10 14:04:00;8.70;-88.78
2022-01-10 14:05:00;8.71;-2.75
2022-01-10 14:06:00;8.71;17.91
2022-01-10 14:07:00;8.72;67.07
2022-01-10 14:08:00;8.72;46.75
2022-01-10 14:09:00;8.72;16.14
2022-01-10 14:10:00;8.72;-102.67
2022-01-10 14:11:00;8.71;3.00
2022-01-10 14:12:00;8.71;3.78
2022-01-10 14:13:00;8.72;11.86
2022-01-10 14:14:00;8.71;12.57
2022-01-10 14:15:00;8.72;3.25
2022-01-10 14:16:00;8.72;63.80
2022-01-10 14:17:00;8.71;-71.00
2022-01-10 14:18:00;8.71;-32.88
2022-01-10 14:19:00;8.71;-6.60
2022-01-10 14:20:00;8.72;40.46
2022-01-10 14:21:00;8.72;11.29
2022-01-10 14:22:00;8.71;-5.22
2022-01-10 14:23:00;8.72;46.08
2022-01-10 14:24:00;8.72;8.40
2022-01-10 14:25:00;8.72;-1.78
2022-01-10 14:26:00;8.72;178.31
2022-01-10 14:27:00;8.71;-365.21
2022-01-10 14:28:00;8.70;-306.91
2022-01-10 14:29:00;8.71;-24.31
2022-01-10 14:30:00;8.71;11.88
2022-01-10 14:31:00;8.72;29.69
2022-01-10 14:32:00;8.72;26.15
2022-01-10 14:33:00;8.72;53.11
2022-01-10 14:34:00;8.72;3.73
2022-01-10 14:35:00;8.72;25.00
2022-01-10 14:36:00;8.72;-2.77
2022-01-10 14:37:00;8.72;21.00
2022-01-10 14:38:00;8.72;38.21
2022-01-10 14:39:00;8.72;14.75
2022-01-10 14:40:00;8.72;-106.56
2022-01-10 14:41:00;8.72;1.18
2022-01-10 14:42:00;8.72;13.55
2022-01-10 14:43:00;8.72;21.14
2022-01-10 14:44:00;8.72;-40.47
2022-01-10 14:45:00;8.72;-44.06
